tradingdate,stockcode,weight
2021/6/30,600519.SH,0.045613094
2021/6/30,600036.SH,0.034928423
2021/6/30,601318.SH,0.026049086
2021/6/30,601888.SH,0.022599961
2021/6/30,603501.SH,0.020901571
2021/6/30,000858.SZ,0.020346386
2021/6/30,300059.SZ,0.020302768
2021/6/30,601919.SH,0.018579746
2021/6/30,601012.SH,0.017054118
2021/6/30,601166.SH,0.016724761
2021/6/30,603259.SH,0.016259084
2021/6/30,600809.SH,0.01553527
2021/6/30,600887.SH,0.015311614
2021/6/30,002142.SZ,0.014706787
2021/6/30,000725.SZ,0.014629677
2021/6/30,002027.SZ,0.014464371
2021/6/30,601211.SH,0.013865142
2021/6/30,000001.SZ,0.013346118
2021/6/30,000651.SZ,0.013170679
2021/6/30,603288.SH,0.01309649
2021/6/30,300122.SZ,0.012953131
2021/6/30,600104.SH,0.012781021
2021/6/30,300014.SZ,0.0126674
2021/6/30,601636.SH,0.012306286
2021/6/30,300015.SZ,0.012201251
2021/6/30,300759.SZ,0.010802317
2021/6/30,600600.SH,0.010780082
2021/6/30,300760.SZ,0.010504473
2021/6/30,601377.SH,0.010471316
2021/6/30,601009.SH,0.009720855
2021/6/30,603799.SH,0.009681205
2021/6/30,000568.SZ,0.009270286
2021/6/30,688099.SH,0.009155836
2021/6/30,000776.SZ,0.008669999
2021/6/30,000157.SZ,0.008403148
2021/6/30,000661.SZ,0.008247113
2021/6/30,600176.SH,0.008156901
2021/6/30,000100.SZ,0.008060622
2021/6/30,600309.SH,0.007962774
2021/6/30,000333.SZ,0.00794224
2021/6/30,300529.SZ,0.007918572
2021/6/30,601678.SH,0.007667448
2021/6/30,000961.SZ,0.00725463
2021/6/30,600845.SH,0.007167688
2021/6/30,601818.SH,0.007000037
2021/6/30,600019.SH,0.006988481
2021/6/30,300750.SZ,0.006832716
2021/6/30,688111.SH,0.006655545
2021/6/30,300408.SZ,0.006643615
2021/6/30,300782.SZ,0.005892461
2021/6/30,600522.SH,0.005875436
2021/6/30,601881.SH,0.005851148
2021/6/30,600132.SH,0.005583767
2021/6/30,600741.SH,0.005456387
2021/6/30,603260.SH,0.005417269
2021/6/30,600958.SH,0.005352654
2021/6/30,600926.SH,0.005198835
2021/6/30,000656.SZ,0.005170224
2021/6/30,002129.SZ,0.005123108
2021/6/30,601668.SH,0.005018032
2021/6/30,600760.SH,0.005000876
2021/6/30,002415.SZ,0.004939871
2021/6/30,603659.SH,0.004879667
2021/6/30,600688.SH,0.004750258
2021/6/30,601336.SH,0.004697748
2021/6/30,601390.SH,0.004695977
2021/6/30,601628.SH,0.004681636
2021/6/30,601288.SH,0.004664122
2021/6/30,002241.SZ,0.004575063
2021/6/30,000799.SZ,0.00443263
2021/6/30,002064.SZ,0.004428838
2021/6/30,002311.SZ,0.004401053
2021/6/30,600754.SH,0.004389679
2021/6/30,002460.SZ,0.004315104
2021/6/30,002812.SZ,0.004282497
2021/6/30,000671.SZ,0.004249335
2021/6/30,600763.SH,0.004244378
2021/6/30,600111.SH,0.004206189
2021/6/30,600031.SH,0.004127685
2021/6/30,002511.SZ,0.00405257
2021/6/30,603833.SH,0.004030467
2021/6/30,600919.SH,0.003938812
2021/6/30,601857.SH,0.003846878
2021/6/30,300595.SZ,0.003580825
2021/6/30,601186.SH,0.003580185
2021/6/30,002475.SZ,0.003562857
2021/6/30,002821.SZ,0.00355111
2021/6/30,002179.SZ,0.003451643
2021/6/30,600027.SH,0.003427187
2021/6/30,603678.SH,0.003423888
2021/6/30,688036.SH,0.003419857
2021/6/30,000069.SZ,0.003387059
2021/6/30,002271.SZ,0.003346597
2021/6/30,603877.SH,0.003304452
2021/6/30,000625.SZ,0.003302573
2021/6/30,600803.SH,0.003239661
2021/6/30,300433.SZ,0.003165149
