tradingdate,stockcode,weight
2021/12/31,603486.SH,0.002168081
2021/12/31,002434.SZ,0.002156819
2021/12/31,600704.SH,0.00214884
2021/12/31,600909.SH,0.002090241
2021/12/31,300026.SZ,0.002057851
2021/12/31,002945.SZ,0.002052443
2021/12/31,600027.SH,0.002043648
2021/12/31,002373.SZ,0.002039204
2021/12/31,688002.SH,0.002032641
2021/12/31,600177.SH,0.002010264
2021/12/31,688005.SH,0.00198661
2021/12/31,000636.SZ,0.001961114
2021/12/31,002028.SZ,0.001889319
2021/12/31,600348.SH,0.001875319
2021/12/31,000656.SZ,0.00187433
2021/12/31,603866.SH,0.001857284
2021/12/31,601985.SH,0.001852205
2021/12/31,002653.SZ,0.001850773
2021/12/31,000690.SZ,0.001833751
2021/12/31,002180.SZ,0.001830097
2021/12/31,600150.SH,0.001822631
2021/12/31,002266.SZ,0.001811306
2021/12/31,600808.SH,0.001793582
2021/12/31,688518.SH,0.00179084
2021/12/31,300171.SZ,0.001790512
2021/12/31,000009.SZ,0.001774861
2021/12/31,002273.SZ,0.001754953
2021/12/31,002129.SZ,0.001741348
2021/12/31,300383.SZ,0.001693269
2021/12/31,600372.SH,0.001687367
2021/12/31,002444.SZ,0.001651816
2021/12/31,000400.SZ,0.001650396
2021/12/31,601233.SH,0.001612277
2021/12/31,002946.SZ,0.001567842
2021/12/31,688200.SH,0.001555568
2021/12/31,600737.SH,0.001476977
2021/12/31,603379.SH,0.001476871
2021/12/31,600271.SH,0.00147609
2021/12/31,300316.SZ,0.001463085
2021/12/31,002926.SZ,0.001438692
2021/12/31,601958.SH,0.001387754
2021/12/31,688357.SH,0.001382191
2021/12/31,600298.SH,0.001381718
2021/12/31,002603.SZ,0.001372266
2021/12/31,002430.SZ,0.00136802
2021/12/31,601778.SH,0.00135127
2021/12/31,688981.SH,0.001335564
2021/12/31,600908.SH,0.001332732
2021/12/31,600110.SH,0.001331982
2021/12/31,300755.SZ,0.00130697
2021/12/31,601186.SH,0.001295169
2021/12/31,300113.SZ,0.001286781
2021/12/31,002557.SZ,0.001273228
2021/12/31,000012.SZ,0.001270564
2021/12/31,603000.SH,0.001248742
2021/12/31,002472.SZ,0.001206508
2021/12/31,600787.SH,0.001197754
2021/12/31,688321.SH,0.001188981
2021/12/31,600038.SH,0.001174857
2021/12/31,300474.SZ,0.001164018
2021/12/31,600062.SH,0.00115007
2021/12/31,000423.SZ,0.001128763
2021/12/31,000877.SZ,0.001115173
2021/12/31,600466.SH,0.001099076
2021/12/31,600642.SH,0.001098447
2021/12/31,603599.SH,0.001060858
2021/12/31,600754.SH,0.00104573
2021/12/31,601668.SH,0.001040818
2021/12/31,002212.SZ,0.001037363
2021/12/31,000630.SZ,0.00102042
2021/12/31,002673.SZ,0.001015394
2021/12/31,600160.SH,0.001013697
2021/12/31,300017.SZ,0.001008351
2021/12/31,002056.SZ,0.001005011
2021/12/31,300232.SZ,0.000996221
2021/12/31,002027.SZ,0.000971084
2021/12/31,601005.SH,0.0009671
2021/12/31,600673.SH,0.000946242
2021/12/31,000568.SZ,0.000940768
2021/12/31,002506.SZ,0.000932088
2021/12/31,600350.SH,0.000930239
2021/12/31,300196.SZ,0.000921701
2021/12/31,603713.SH,0.000915261
2021/12/31,000758.SZ,0.000901883
2021/12/31,601992.SH,0.000890005
2021/12/31,300327.SZ,0.000872016
2021/12/31,300432.SZ,0.000855743
2021/12/31,603986.SH,0.000855
2021/12/31,300659.SZ,0.00085338
2021/12/31,300253.SZ,0.000849245
2021/12/31,300748.SZ,0.000844724
2021/12/31,000988.SZ,0.000840206
2021/12/31,600219.SH,0.000833764
2021/12/31,688122.SH,0.000814003
2021/12/31,600882.SH,0.000810946
2021/12/31,600006.SH,0.000806743
2021/12/31,600315.SH,0.000806089
2021/12/31,300260.SZ,0.000799609
2021/12/31,002409.SZ,0.000797846
2021/12/31,002850.SZ,0.000775375
2021/12/31,600409.SH,0.000770208
2021/12/31,000528.SZ,0.0007624
2021/12/31,002410.SZ,0.000761719
2021/12/31,000028.SZ,0.000757869
2021/12/31,603566.SH,0.000746068
2021/12/31,300919.SZ,0.000740639
2021/12/31,600461.SH,0.000732548
2021/12/31,601003.SH,0.000728328
2021/12/31,601677.SH,0.000725382
2021/12/31,002539.SZ,0.000721927
2021/12/31,600132.SH,0.000719825
2021/12/31,300014.SZ,0.00071903
2021/12/31,002203.SZ,0.000717717
2021/12/31,601187.SH,0.000709505
2021/12/31,002429.SZ,0.000708766
2021/12/31,600711.SH,0.000705428
2021/12/31,600183.SH,0.000702798
2021/12/31,300724.SZ,0.000696926
2021/12/31,600316.SH,0.000691712
2021/12/31,002245.SZ,0.000690472
2021/12/31,600901.SH,0.0006888
2021/12/31,002407.SZ,0.000679886
2021/12/31,002831.SZ,0.000678592
2021/12/31,002195.SZ,0.000676489
2021/12/31,600216.SH,0.000667006
2021/12/31,600779.SH,0.000666136
2021/12/31,300296.SZ,0.000665385
2021/12/31,600690.SH,0.000660261
2021/12/31,601898.SH,0.000656617
2021/12/31,300251.SZ,0.000655512
2021/12/31,300024.SZ,0.000652303
2021/12/31,300315.SZ,0.000649181
2021/12/31,603818.SH,0.000644434
2021/12/31,000063.SZ,0.000643157
2021/12/31,600970.SH,0.000638348
2021/12/31,300257.SZ,0.000630619
2021/12/31,300772.SZ,0.000628791
2021/12/31,600153.SH,0.000627163
2021/12/31,000301.SZ,0.000620618
2021/12/31,300627.SZ,0.000610534
2021/12/31,002008.SZ,0.00060884
2021/12/31,002299.SZ,0.000606642
2021/12/31,603056.SH,0.000598888
2021/12/31,000021.SZ,0.000598641
2021/12/31,688665.SH,0.000597135
2021/12/31,603882.SH,0.000593885
2021/12/31,002174.SZ,0.000592787
2021/12/31,002221.SZ,0.000591789
2021/12/31,300639.SZ,0.000586836
2021/12/31,300759.SZ,0.000581054
2021/12/31,300696.SZ,0.000577424
2021/12/31,002508.SZ,0.000576518
2021/12/31,000090.SZ,0.000576364
2021/12/31,300655.SZ,0.000574827
2021/12/31,600900.SH,0.000573624
2021/12/31,000778.SZ,0.000572183
2021/12/31,002030.SZ,0.000571308
2021/12/31,688301.SH,0.000568081
2021/12/31,002541.SZ,0.000552997
2021/12/31,300115.SZ,0.000549032
2021/12/31,600482.SH,0.000535869
2021/12/31,001914.SZ,0.000528696
2021/12/31,600456.SH,0.000528219
2021/12/31,300618.SZ,0.000527869
2021/12/31,300661.SZ,0.000527866
2021/12/31,002182.SZ,0.000527538
2021/12/31,002085.SZ,0.000525346
2021/12/31,600390.SH,0.000520753
2021/12/31,002925.SZ,0.00052052
2021/12/31,000657.SZ,0.000511145
2021/12/31,000898.SZ,0.000506283
2021/12/31,300019.SZ,0.00050626
2021/12/31,603180.SH,0.000504844
2021/12/31,601718.SH,0.000502261
2021/12/31,600733.SH,0.00050114
2021/12/31,600985.SH,0.000493485
2021/12/31,600729.SH,0.00049237
2021/12/31,300633.SZ,0.000488818
2021/12/31,002595.SZ,0.000488452
2021/12/31,601088.SH,0.000479408
2021/12/31,002084.SZ,0.00047918
2021/12/31,000488.SZ,0.000477124
2021/12/31,600167.SH,0.000471582
2021/12/31,603883.SH,0.000458119
2021/12/31,688356.SH,0.000451876
2021/12/31,000739.SZ,0.000449998
2021/12/31,603885.SH,0.000449005
2021/12/31,300418.SZ,0.000448405
2021/12/31,300012.SZ,0.000447723
2021/12/31,300166.SZ,0.000444496
2021/12/31,002475.SZ,0.000440932
2021/12/31,000513.SZ,0.000435781
2021/12/31,000089.SZ,0.000432858
2021/12/31,603568.SH,0.00043155
2021/12/31,002511.SZ,0.000430492
2021/12/31,000975.SZ,0.000429869
2021/12/31,300825.SZ,0.00041666
2021/12/31,600096.SH,0.00041561
2021/12/31,600362.SH,0.000409047
2021/12/31,600018.SH,0.000400745
2021/12/31,600507.SH,0.000394106
2021/12/31,000983.SZ,0.000390576
2021/12/31,002901.SZ,0.000387618
2021/12/31,002368.SZ,0.000387231
2021/12/31,002415.SZ,0.000387078
2021/12/31,300785.SZ,0.000386516
2021/12/31,600548.SH,0.000382944
2021/12/31,000685.SZ,0.000382033
2021/12/31,002382.SZ,0.000381676
2021/12/31,002233.SZ,0.000367873
