tradingdate,stockcode,weight
2021-12-31,688005.SH,0.001193735
2021-12-31,300623.SZ,0.001188026
2021-12-31,601678.SH,0.001166838
2021-12-31,000932.SZ,0.001113676
2021-12-31,002539.SZ,0.001110799
2021-12-31,688200.SH,0.00110759
2021-12-31,600588.SH,0.001103238
2021-12-31,002466.SZ,0.001094267
2021-12-31,002001.SZ,0.001089441
2021-12-31,002791.SZ,0.001083554
2021-12-31,601928.SH,0.001045466
2021-12-31,000887.SZ,0.001038917
2021-12-31,688169.SH,0.001033869
2021-12-31,002352.SZ,0.001031033
2021-12-31,600143.SH,0.001018379
2021-12-31,002384.SZ,0.001011927
2021-12-31,600586.SH,0.001005699
2021-12-31,601601.SH,0.000977374
2021-12-31,600048.SH,0.000965145
2021-12-31,600570.SH,0.000960431
2021-12-31,000002.SZ,0.00095997
2021-12-31,605358.SH,0.00095751
2021-12-31,002266.SZ,0.000943824
2021-12-31,603392.SH,0.000943536
2021-12-31,601669.SH,0.000936957
2021-12-31,300627.SZ,0.000933089
2021-12-31,600745.SH,0.000931091
2021-12-31,688016.SH,0.000920818
2021-12-31,600258.SH,0.000917104
2021-12-31,002714.SZ,0.000914433
2021-12-31,002245.SZ,0.000904935
2021-12-31,603899.SH,0.000903667
2021-12-31,603290.SH,0.00090013
2021-12-31,600195.SH,0.00086716
2021-12-31,002430.SZ,0.000862056
2021-12-31,600884.SH,8.46E-04
2021-12-31,000656.SZ,8.44E-04
2021-12-31,300628.SZ,8.25E-04
2021-12-31,601238.SH,8.16E-04
2021-12-31,300601.SZ,8.13E-04
2021-12-31,002254.SZ,7.99E-04
2021-12-31,000625.SZ,7.97E-04
2021-12-31,002240.SZ,7.91E-04
2021-12-31,000963.SZ,7.87E-04
2021-12-31,605111.SH,7.71E-04
2021-12-31,300655.SZ,7.53E-04
2021-12-31,002677.SZ,7.51E-04
2021-12-31,002080.SZ,7.16E-04
2021-12-31,600039.SH,7.14E-04
2021-12-31,300088.SZ,7.14E-04
2021-12-31,600380.SH,7.07E-04
2021-12-31,601600.SH,6.99E-04
2021-12-31,603589.SH,6.88E-04
2021-12-31,002025.SZ,6.83E-04
2021-12-31,300033.SZ,6.82E-04
2021-12-31,601658.SH,6.80E-04
2021-12-31,000671.SZ,6.61E-04
2021-12-31,601225.SH,6.40E-04
2021-12-31,600779.SH,6.15E-04
2021-12-31,000961.SZ,6.04E-04
2021-12-31,002202.SZ,5.90E-04
2021-12-31,300373.SZ,5.89E-04
2021-12-31,300458.SZ,5.84E-04
2021-12-31,603816.SH,5.75E-04
2021-12-31,603444.SH,5.70E-04
2021-12-31,300363.SZ,5.55E-04
2021-12-31,000338.SZ,5.53E-04
2021-12-31,300558.SZ,5.44E-04
2021-12-31,600522.SH,5.42E-04
2021-12-31,600873.SH,5.39E-04
2021-12-31,601117.SH,5.19E-04
2021-12-31,002736.SZ,5.16E-04
2021-12-31,002916.SZ,5.15E-04
2021-12-31,601156.SH,5.14E-04
2021-12-31,000921.SZ,5.12E-04
2021-12-31,600096.SH,5.08E-04
2021-12-31,002938.SZ,5.03E-04
2021-12-31,600461.SH,5.00E-04
2021-12-31,002312.SZ,4.99E-04
2021-12-31,300037.SZ,4.97E-04
2021-12-31,603606.SH,4.86E-04
2021-12-31,603369.SH,4.73E-04
2021-12-31,600862.SH,4.68E-04
2021-12-31,002007.SZ,4.64E-04
2021-12-31,601699.SH,4.61E-04
2021-12-31,300661.SZ,4.34E-04
